,Sr No,District / Block Name,Total Enrollment,Total Enrollment Boys,Total Enrollment Girls,Total Appeared,Total Boys,Total Girls,A Grade Boys,A Grade Girls,B Grade Boys,B Grade Girls,C Grade Boys,C Grade Girls,D Grade Boys,D Grade Girls,E Grade Boys,E Grade Girls
0,,,,,,,,,,,,,,,,,,
1,"                            1
                            ",AGAR MALWA,39763,18675,21088,35441,15592,19849,1718,1752,6321,7730,7077,9835,455,497,21,35
2,"                            2
                            ",ALIRAJPUR,95412,51015,44397,68177,37362,30815,2619,2077,17559,14078,16791,14300,361,328,32,32
3,"                            3
                            ",ANUPPUR,58767,29212,29555,57697,28646,29051,4440,4531,14973,15472,8982,8837,248,209,3,2
4,"                            4
                            ",ASHOKNAGAR,73117,36553,36564,72276,36126,36150,4005,3761,19072,19074,12447,12778,594,530,8,7
5,"                            5
                            ",BALAGHAT,106480,53014,53466,103360,51265,52095,8698,10579,20352,21301,19456,17985,2624,2138,135,92
6,"                            6
                            ",BARWANI,93874,47991,45883,85467,43739,41728,1815,1981,11259,10387,30082,28857,565,491,18,12
7,"                            7
                            ",BETUL,117180,59105,58075,110927,55598,55329,9026,10149,24203,24293,21251,19947,968,828,150,112
8,"                            8
                            ",BHIND,103709,53532,50177,102215,52613,49602,6769,5849,30264,28404,14979,14853,601,496,0,0
9,"                            9
                            ",BHOPAL,57753,27816,29937,54052,25776,28276,3909,4905,10385,11598,10379,10739,974,936,129,98
10,"                            10
                            ",BURHANPUR,58677,30090,28587,52494,26620,25874,4063,4335,11383,10976,10523,9979,645,583,6,1
11,"                            11
                            ",CHHATARPUR,175259,90231,85028,167852,86431,81421,13920,11199,38104,35623,32792,33135,1545,1413,70,51
12,"                            12
                            ",CHHINDWARA,132759,65939,66820,130178,64521,65657,15874,17938,31280,31359,16638,15807,677,512,52,41
13,"                            13
                            ",DAMOH,108479,54576,53903,101903,51151,50752,6718,6566,19994,20148,21985,21830,2364,2108,90,100
14,"                            14
                            ",DATIA,48087,25118,22969,47329,24702,22627,2838,2368,12517,11493,8973,8399,374,367,0,0
15,"                            15
                            ",DEWAS,88939,41577,47362,87094,40578,46516,6846,8459,18306,21215,14918,16337,484,480,24,25
16,"                            16
                            ",DHAR,158013,78945,79068,147605,73732,73873,7659,7686,32327,31772,32179,32907,1181,1148,386,360
17,"                            17
                            ",DINDORI,65307,32882,32425,64145,32204,31941,3744,3250,15664,15268,12281,12923,510,498,5,2
18,"                            18
                            ",GUNA,115202,56713,58489,111500,54870,56630,5668,5365,23470,23921,24310,25869,1412,1461,10,14
19,"                            19
                            ",GWALIOR,68419,34668,33751,67042,33935,33107,4353,3747,17072,16570,12088,12408,420,381,2,1
20,"                            20
                            ",HARDA,33985,17032,16953,32655,16334,16321,1670,1868,6585,6518,7234,7235,827,684,18,16
21,"                            21
                            ",HOSHANGABAD,55247,27006,28241,53393,26040,27353,3998,4967,11096,11997,10438,10007,464,364,44,18
22,"                            22
                            ",INDORE,70874,32606,38268,67567,30991,36576,4977,6529,12504,14967,12691,14247,692,739,127,94
23,"                            23
                            ",JABALPUR,94105,47050,47055,91061,45421,45640,7306,8288,17202,18137,19191,17679,1660,1507,62,29
24,"                            24
                            ",JHABUA,108026,56500,51526,86710,46231,40479,2711,2103,18955,15576,23649,21900,814,757,102,143
25,"                            25
                            ",KATNI,98571,49706,48865,95190,47828,47362,6713,6714,18010,18158,20772,20362,2200,2057,133,71
26,"                            26
                            ",KHANDWA,100549,51280,49269,89855,45616,44239,5700,5816,18933,17999,19692,19285,1195,1063,96,76
27,"                            27
                            ",KHARGONE,125937,61822,64115,114654,55609,59045,3740,4249,15279,16175,33793,35612,2583,2777,214,232
28,"                            28
                            ",MANDLA,86245,43069,43176,84438,42017,42421,6189,6142,19334,19525,15693,16088,773,651,28,15
29,"                            29
                            ",MANDSAUR,53233,24279,28954,52618,23966,28652,3836,4562,11158,13292,8620,10406,318,358,34,34
30,"                            30
                            ",MORENA,131782,68667,63115,130262,67848,62414,12831,9578,38374,35001,16293,17463,349,372,1,0
31,"                            31
                            ",NARSINGHPUR,57967,28532,29435,57336,28212,29124,7502,8307,12310,12751,8122,7845,264,204,14,17
32,"                            32
                            ",NEEMUCH,31319,14581,16738,30355,14116,16239,2483,3107,5988,6884,5258,5884,377,358,10,6
33,"                            33
                            ",PANNA,83625,42510,41115,76121,38563,37558,3552,3043,14109,12928,18565,19207,2261,2304,76,76
34,"                            34
                            ",RAISEN,91039,44833,46206,88073,43205,44868,4700,5222,18610,20272,18539,18107,1310,1226,46,41
35,"                            35
                            ",RAJGARH,112040,51759,60281,105154,48626,56528,6276,6922,19848,22506,20769,25086,1653,1922,80,92
36,"                            36
                            ",RATLAM,101681,50847,50834,80933,40492,40441,2731,2719,13266,13048,22825,23000,1511,1496,159,178
37,"                            37
                            ",REWA,163403,80520,82883,160491,78992,81499,10912,9906,35978,37693,31192,32984,887,885,23,31
38,"                            38
                            ",SAGAR,152147,75843,76304,146729,72875,73854,9892,11082,29920,31571,31276,29808,1765,1367,22,26
39,"                            39
                            ",SATNA,150221,74172,76049,146656,72201,74455,9468,8953,28642,29767,31470,33279,2437,2308,184,148
40,"                            40
                            ",SEHORE,79296,37599,41697,78043,36939,41104,6320,7072,17429,19691,12896,14007,291,332,3,2
41,"                            41
                            ",SEONI,87531,43436,44095,85726,42457,43269,6506,7442,19041,19737,15561,14944,1311,1128,38,18
42,"                            42
                            ",SHAHDOL,89549,44974,44575,87962,44159,43803,6442,6234,21159,21499,15651,15356,905,711,2,3
43,"                            43
                            ",SHAJAPUR,41406,17877,23529,40553,17549,23004,2197,2847,7381,9718,7633,10044,333,392,5,3
44,"                            44
                            ",SHEOPUR,66967,34090,32877,66074,33671,32403,2800,2120,16162,15078,14274,14783,432,415,3,7
45,"                            45
                            ",SHIVPURI,179832,92302,87530,176433,90513,85920,8875,6914,37824,34237,42719,43598,1074,1160,21,11
46,"                            46
                            ",SIDHI,91199,45804,45395,88138,44116,44022,3562,2873,16505,16848,22823,23158,1203,1115,23,28
47,"                            47
                            ",SINGROULI,134757,68141,66616,130010,65705,64305,7697,6800,26510,25615,29399,29723,2098,2167,1,0
48,"                            48
                            ",TIKAMGARH,140228,73645,66583,134830,70753,64077,6678,5340,27079,24129,35310,33038,1674,1558,12,12
49,"                            49
                            ",UJJAIN,88978,40509,48469,85981,39169,46812,5021,6030,16294,19112,16765,20457,1009,1132,80,81
50,"                            50
                            ",UMARIA,62285,31152,31133,60586,30254,30332,4019,3954,13408,13515,12603,12639,223,220,1,4
51,"                            51
                            ",VIDISHA,116620,58521,58099,113841,56997,56844,6011,6294,25294,25357,24800,24350,871,828,21,15
52, ,Total,4845840,2418316,2427524,4605182,2292926,2312256,297997,300494,984692,989983,954647,969306,52766,49961,2824,2512
