,Unnamed: 0,District,Primary BoysTextBook,Primary GirlsTextBook,Upper Primary BoysTextBook,Upper Primary GirlsTextBook,Primary BoysUniform,Primary GirlsUniform,Upper Primary BoysUniform,Upper Primary GirlsUniform,District Name,Boys Total,Girls Total
14,14,DHAR,116551,132035,37346,40127,163,124459,153,41048,DHAR,109004,115771
36,36,SAGAR,119658,125105,55611,63500,72,123624,121,63355,SAGAR,107379,109534
43,43,SHIVPURI,118892,124643,44323,42253,179,119727,0,41829,SHIVPURI,109762,111292
35,35,REWA,110916,130541,42924,55335,130,118543,0,53319,REWA,101807,111292
9,9,CHHATARPUR,113930,117769,41004,42681,4,115223,177,42231,CHHATARPUR,99951,100492
37,37,SATNA,104964,117484,46739,59255,211,113771,269,58993,SATNA,101639,108013
25,25,KHARGONE,98809,110074,30979,35717,40,110475,8,35454,KHARGONE,94808,98253
10,10,CHHINDWARA,101628,104172,52331,56509,76,102620,101,56049,CHHINDWARA,89365,88731
4,4,BARWANI,91310,99741,23691,25956,1,97977,0,25488,BARWANI,93196,97160
46,46,TIKAMGARH,93311,96994,36652,35760,0,93898,0,35671,TIKAMGARH,93781,91793
33,33,RAJGARH,72607,90964,26974,30798,14,87972,31,30000,RAJGARH,70702,85428
28,28,MORENA,83810,87177,36360,47585,10,85006,0,46328,MORENA,85657,84954
16,16,GUNA,81580,84749,24880,23736,70,83045,178,23335,GUNA,76051,81854
5,5,BETUL,82448,84626,50365,48587,17,82553,63,43615,BETUL,75217,74744
6,6,BHIND,81041,85322,38482,44692,89,82242,272,44101,BHIND,74543,76272
45,45,SINGRAULI,75885,84701,22277,24573,0,80873,0,24094,SINGROULI,78169,81917
44,44,SIDHI,71558,79913,29738,35336,0,79344,154,34602,SIDHI,68742,71739
3,3,BALAGHAT,79442,82753,38396,45527,22,78036,296,43974,BALAGHAT,66914,69833
41,41,SHAJAPUR,58866,77334,25456,27664,38,76937,349,27824,SHAJAPUR,29632,38184
22,22,JHABUA,85031,78396,19220,13640,489,76135,208,12836,JHABUA,87369,83838
21,21,JABALPUR,75051,77902,37340,42152,258,74903,379,41865,JABALPUR,66160,66495
47,47,UJJAIN,64861,76824,27882,27109,462,74561,229,26864,UJJAIN,57357,68362
11,11,DAMOH,70310,75903,28579,33748,157,74399,135,33311,DAMOH,68067,68825
39,39,SEONI,73372,76799,37181,43033,13,73625,144,43925,SEONI,61966,62848
24,24,KHANDWA,72483,75133,23889,23187,128,73537,448,24377,KHANDWA,63713,64379
49,49,VIDISHA,71629,77975,28182,31366,12470,73148,6525,31999,VIDISHA,81746,80900
23,23,KATNI,67706,70879,31362,34815,19,71074,136,35269,KATNI,65774,66083
31,31,PANNA,64182,69438,23562,28561,0,68309,0,28839,PANNA,64264,63844
13,13,DEWAS,55767,70272,22546,26747,88,67798,258,26494,DEWAS,54328,63913
34,34,RATLAM,63371,69388,23300,21381,111,66381,159,20692,RATLAM,63560,66983
32,32,RAISEN,64900,69246,26666,31193,118,66290,64,30025,RAISEN,59255,62089
17,17,GWALIOR,57895,67863,22782,29503,24,65671,139,29137,GWALIOR,58320,61635
38,38,SEHORE,53218,64122,23064,30859,82,62592,221,31314,SEHORE,45112,52831
0,0,ALIRAJPUR,60570,60785,12621,11025,129,60471,3,11482,ALIRAJPUR,66186,62650
26,26,MANDLA,58470,61213,26377,29540,0,59890,47,29019,MANDLA,56592,57172
40,40,SHAHDOL,57190,60449,25085,28454,11,59472,12,28106,SHAHDOL,52390,52803
2,2,ASHOKNAGAR,55489,58792,18313,17995,51,57475,267,17809,ASHOKNAGAR,50493,52768
27,27,MANDSAUR,45257,56505,21006,20873,92,56102,95,21023,MANDSAUR,40639,49133
20,20,INDORE,46336,58513,21603,27561,0,55739,0,25858,INDORE,44542,53749
19,19,HOSHANGABAD,46303,51745,21162,24739,66,49780,59,24641,HOSHANGABAD,41502,45045
7,7,BHOPAL,43505,49066,17401,24493,183,47639,216,22962,BHOPAL,42482,46847
42,42,SHEOPUR,48969,51518,14752,15086,150,47091,208,15026,SHEOPUR,43175,43763
29,29,NARSIMHAPUR,43801,46334,23033,25015,0,46410,0,24923,NARSINGHPUR,40338,41692
12,12,DATIA,42929,45168,21257,20917,93,44225,0,20746,DATIA,40631,40263
15,15,DINDORI,39799,43747,18599,19778,82,41832,145,19983,DINDORI,41439,42810
48,48,UMARIA,36635,37612,15094,16721,160,37493,212,16919,UMARIA,36079,36369
8,8,BURHANPUR,34590,38256,10144,10631,6,37119,69,10605,BURHANPUR,33869,34926
1,1,ANUPPUR,34186,36509,16426,19686,0,35826,179,19553,ANUPPUR,32997,33844
30,30,NEEMUCH,29372,34930,12406,12476,14,34899,0,12468,NEEMUCH,25460,30249
18,18,HARDA,28224,31106,11049,11124,0,30315,93,11121,HARDA,22083,23420
