,District,Primary BoysTextBook,Primary GirlsTextBook,Upper Primary BoysTextBook,Upper Primary GirlsTextBook,Primary BoysUniform,Primary GirlsUniform,Upper Primary BoysUniform,Upper Primary GirlsUniform
0,ALIRAJPUR,153290,147886,58214,54923,3496,89310,1201,2938
1,ANUPPUR,60570,60785,12621,11025,129,60471,3,11482
2,ASHOKNAGAR,34186,36509,16426,19686,0,35826,179,19553
3,BALAGHAT,55489,58792,18313,17995,51,57475,267,17809
4,BARWANI,79442,82753,38396,45527,22,78036,296,43974
5,BETUL,91310,99741,23691,25956,1,97977,0,25488
6,BHIND,82448,84626,50365,48587,17,82553,63,43615
7,BHOPAL,81041,85322,38482,44692,89,82242,272,44101
8,BURHANPUR,43505,49066,17401,24493,183,47639,216,22962
9,CHHATARPUR,34590,38256,10144,10631,6,37119,69,10605
10,CHHINDWARA,113930,117769,41004,42681,4,115223,177,42231
11,DAMOH,101628,104172,52331,56509,76,102620,101,56049
12,DATIA,70310,75903,28579,33748,157,74399,135,33311
13,DEWAS,42929,45168,21257,20917,93,44225,0,20746
14,DHAR,55767,70272,22546,26747,88,67798,258,26494
15,DINDORI,116551,132035,37346,40127,163,124459,153,41048
16,GUNA,39799,43747,18599,19778,82,41832,145,19983
17,GWALIOR,81580,84749,24880,23736,70,83045,178,23335
18,HARDA,57895,67863,22782,29503,24,65671,139,29137
19,HOSHANGABAD,28224,31106,11049,11124,0,30315,93,11121
20,INDORE,46303,51745,21162,24739,66,49780,59,24641
21,JABALPUR,46336,58513,21603,27561,0,55739,0,25858
22,JHABUA,75051,77902,37340,42152,258,74903,379,41865
23,KATNI,85031,78396,19220,13640,489,76135,208,12836
24,KHANDWA,67706,70879,31362,34815,19,71074,136,35269
25,KHARGONE,72483,75133,23889,23187,128,73537,448,24377
26,MANDLA,98809,110074,30979,35717,40,110475,8,35454
27,MANDSAUR,58470,61213,26377,29540,0,59890,47,29019
28,MORENA,45257,56505,21006,20873,92,56102,95,21023
29,NARSIMHAPUR,83810,87177,36360,47585,10,85006,0,46328
30,NEEMUCH,43801,46334,23033,25015,0,46410,0,24923
31,PANNA,29372,34930,12406,12476,14,34899,0,12468
32,RAISEN,64182,69438,23562,28561,0,68309,0,28839
33,RAJGARH,64900,69246,26666,31193,118,66290,64,30025
34,RATLAM,72607,90964,26974,30798,14,87972,31,30000
35,REWA,63371,69388,23300,21381,111,66381,159,20692
36,SAGAR,110916,130541,42924,55335,130,118543,0,53319
37,SATNA,119658,125105,55611,63500,72,123624,121,63355
38,SEHORE,104964,117484,46739,59255,211,113771,269,58993
39,SEONI,53218,64122,23064,30859,82,62592,221,31314
40,SHAHDOL,73372,76799,37181,43033,13,73625,144,43925
41,SHAJAPUR,57190,60449,25085,28454,11,59472,12,28106
42,SHEOPUR,58866,77334,25456,27664,38,76937,349,27824
43,SHIVPURI,48969,51518,14752,15086,150,47091,208,15026
44,SIDHI,118892,124643,44323,42253,179,119727,0,41829
45,SINGRAULI,71558,79913,29738,35336,0,79344,154,34602
46,TIKAMGARH,75885,84701,22277,24573,0,80873,0,24094
47,UJJAIN,93311,96994,36652,35760,0,93898,0,35671
48,UMARIA,64861,76824,27882,27109,462,74561,229,26864
49,VIDISHA,36635,37612,15094,16721,160,37493,212,16919
50,,84599,90839,28314,28626,35,89303,60,28961
51,,108321,105721,38959,40416,73235,68409,28535,27207
