,District,Primary BoysTextBook,Primary GirlsTextBook,Upper Primary BoysTextBook,Upper Primary GirlsTextBook,Primary BoysUniform,Primary GirlsUniform,Upper Primary BoysUniform,Upper Primary GirlsUniform
0,ALIRAJPUR ,69165,59349,14411,14512,4065,4019,13855,14115
1,ANUPPUR,23278,23914,13572,15975,971,1156,13242,15667
2,ASHOKNAGAR ,52315,54854,19929,21726,1866,2031,19667,21404
3,BALAGHAT,72575,75327,38124,44509,1544,1661,37337,44039
4,BARWANI,88095,90374,26649,30745,875,1000,26248,29981
5,BETUL ,72576,71974,39131,43480,2149,2593,38210,43131
6,BHIND,70285,72013,36932,42820,797,799,33605,40031
7,BHOPAL,47497,53150,21705,30746,1532,1646,19294,24356
8,BURHANPUR ,35334,36070,11238,13843,2593,2501,10943,13667
9,CHHATARPUR,111602,111061,49386,53489,2844,2720,42614,46287
10,CHHINDWARA ,88410,88838,53478,61205,1962,1872,51185,59348
11,DAMOH  ,64716,65070,32095,37692,915,756,30773,36620
12,DATIA,38214,37870,21923,23684,1263,1236,21583,23344
13,DEWAS ,51155,60328,23434,29850,1640,2943,22486,29380
14,DHAR,101569,107104,38127,43211,1366,1935,35717,41013
15,DINDORI,38640,40406,17898,19623,811,782,17293,19253
16,GUNA,58628,62171,22872,24835,808,881,21495,24066
17,GWALIOR,49619,51280,21645,30073,2328,2450,20770,27895
18,HARDA ,25195,25931,11848,12933,1532,1481,11675,12799
19,HOSHANGABAD,29827,33375,17664,19945,1879,1589,16602,18938
20,INDORE,39955,48149,21276,28367,281,411,20622,27731
21,JABALPUR,65111,65748,31985,38150,2532,2671,29193,34318
22,JHABUA,79834,75315,22253,18856,1890,1536,20933,18224
23,KATNI,62536,62500,34152,35727,1275,1210,24584,27758
24,KHANDWA,69591,73478,27620,26864,2963,3265,26350,26056
25,KHARGONE,89358,97145,36840,43896,3190,3269,34896,43058
26,MANDLA,51394,52198,26272,30052,1742,1913,25972,30017
27,MANDSAUR,34176,40560,17992,20059,777,892,17748,19813
28,MORENA,70083,69552,37222,45212,1226,2026,34916,42671
29,NARSIMHAPUR,39466,41146,24959,27182,1362,1399,23463,26393
30,NEEMUCH,25230,29501,13605,15487,0,0,13450,15453
31,PANNA,51812,51654,23587,28839,4420,3995,22283,27695
32,RAISEN,51054,53197,27249,32404,1214,1455,26562,31601
33,RAJGARH,70347,84529,30931,37314,5390,6572,30124,37054
34,RATLAM,59065,61617,25508,26301,1149,1420,25215,26180
35,REWA,97765,105498,39789,53865,6325,7022,36450,50808
36,SAGAR ,98871,101743,53320,61265,2895,3274,51061,59756
37,SATNA,100396,107182,49992,62079,2835,3176,48183,60775
38,SEHORE,41841,48150,22631,30331,1733,1827,22085,30109
39,SEONI,60800,62503,41208,46987,2198,2361,38172,44932
40,SHAHDOL,53121,52774,29004,33320,1894,2501,28219,32716
41,SHAJAPUR,51388,64717,26053,31180,1523,2229,24702,30337
42,SHEOPUR,43992,44688,17385,20588,932,746,16605,19765
43,SHIVPURI,99944,100088,46457,49558,1749,1582,45188,49410
44,SIDHI,66586,69191,29384,39275,4692,5197,28531,37068
45,SINGRAULI,62411,64540,24162,30641,1476,1772,23087,28862
46,TIKAMGARH  ,654,700,635,571,0,0,313,334
47,UJJAIN,53738,63456,25128,27365,1466,1996,24891,27138
48,UMARIA,33615,34164,17940,20541,2622,2697,17830,20281
49,VIDISHA,72465,75361,31512,35111,1952,2318,30401,33931
