,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",UMARIA,PALI-2 (Gohparu),278,175,81,7,15,272,175,78,5,14,6,0,3,2,1,97.84,100,96.3,71.43,93.33
"                                            2
                                        ",UMARIA,MANPUR,486,283,147,40,16,461,282,146,27,14,25,1,1,13,2,94.86,99.65,99.32,67.5,87.5
"                                            3
                                        ",UMARIA,KARKELI,563,344,156,42,21,530,344,152,23,21,33,0,4,19,0,94.14,100,97.44,54.76,100
 , ,Total,1327,802,384,89,52,1263,801,376,55,49,64,1,8,34,3, , , , , 
