,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",PANNA,PAWAI,509,330,151,14,14,507,330,151,14,14,2,0,0,0,0,99.61,100,100,100,100
"                                            2
                                        ",PANNA,SAHNAGAR,465,301,140,17,7,462,300,140,16,7,3,1,0,1,0,99.35,99.67,100,94.12,100
"                                            3
                                        ",PANNA,GUNOUR,548,378,143,16,11,541,378,143,12,10,7,0,0,4,1,98.72,100,100,75,90.91
"                                            4
                                        ",PANNA,AJAIGARH,412,265,123,12,12,405,265,123,7,12,7,0,0,5,0,98.3,100,100,58.33,100
"                                            5
                                        ",PANNA,PANNA,532,345,157,13,17,521,345,150,12,17,11,0,7,1,0,97.93,100,95.54,92.31,100
 , ,Total,2466,1619,714,72,61,2436,1618,707,61,60,30,1,7,11,1, , , , , 
