,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",RAJGARH,KHILCHIPUR,464,331,106,17,10,459,331,106,13,10,5,0,0,4,0,98.92,100,100,76.47,100
"                                            2
                                        ",RAJGARH,NARSINGHGARH,599,385,162,38,14,589,384,162,34,11,10,1,0,4,3,98.33,99.74,100,89.47,78.57
"                                            3
                                        ",RAJGARH,BIAORA,471,312,122,28,9,461,309,122,23,9,10,3,0,5,0,97.88,99.04,100,82.14,100
"                                            4
                                        ",RAJGARH,SARANGPUR,394,232,122,22,18,385,232,122,19,17,9,0,0,3,1,97.72,100,100,86.36,94.44
"                                            5
                                        ",RAJGARH,RAJGARH,555,383,138,19,15,540,379,136,13,15,15,4,2,6,0,97.3,98.96,98.55,68.42,100
"                                            6
                                        ",RAJGARH,ZIRAPUR,398,274,97,17,10,387,273,97,10,9,11,1,0,7,1,97.24,99.64,100,58.82,90
 , ,Total,2881,1917,747,141,76,2821,1908,745,112,71,60,9,2,29,5, , , , , 
