,No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
0,,,,Total Schools,Mapped Schools,Non-Mapped Schools,Mapped Schools Percentage,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,
2,"                                            1
                                        ",NARSINGHPUR,GOTEGAON (SHRIDHAM),384,254,99,21,10,380,254,99,18,10,4,0,0,3,0,98.96,100.00,100.00,85.71,100.00
3,"                                            2
                                        ",NARSINGHPUR,NARSINGHPUR,368,239,102,13,14,364,239,102,11,14,4,0,0,2,0,98.91,100.00,100.00,84.62,100.00
4,"                                            3
                                        ",NARSINGHPUR,KARELI,264,173,69,9,13,260,173,69,6,13,4,0,0,3,0,98.48,100.00,100.00,66.67,100.00
5,"                                            4
                                        ",NARSINGHPUR,CHAWARPATHA,340,225,84,17,14,334,225,84,14,14,6,0,0,3,0,98.24,100.00,100.00,82.35,100.00
6,"                                            5
                                        ",NARSINGHPUR,CHICHLI,298,184,82,20,12,292,184,82,17,12,6,0,0,3,0,97.99,100.00,100.00,85.00,100.00
7,"                                            6
                                        ",NARSINGHPUR,SAIKHEDA,246,155,62,15,14,241,155,62,14,14,5,0,0,1,0,97.97,100.00,100.00,93.33,100.00
8, , ,Total,1900,1230,498,95,77,1871,1230,498,80,77,29,0,0,15,0, , , , , 
