,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",SEHORE,ICHHAWAR,335,215,101,9,10,333,215,101,8,10,2,0,0,1,0,99.4,100,100,88.89,100
"                                            2
                                        ",SEHORE,SEHORE,629,394,183,28,24,623,394,181,27,24,6,0,2,1,0,99.05,100,98.91,96.43,100
"                                            3
                                        ",SEHORE,ASHTA,602,377,179,27,19,592,375,179,22,19,10,2,0,5,0,98.34,99.47,100,81.48,100
"                                            4
                                        ",SEHORE,BUDHANI,325,185,88,25,27,319,184,87,23,26,6,1,1,2,1,98.15,99.46,98.86,92,96.3
"                                            5
                                        ",SEHORE,NASRULLAGANJ,465,272,127,38,28,442,268,127,34,28,23,4,0,4,0,95.05,98.53,100,89.47,100
 , ,Total,2356,1443,678,127,108,2309,1436,675,114,107,47,7,3,13,1, , , , , 
