,District Name,Boys ST,Girls ST,Boys SC,Girls SC,Boys OBC,Girls OBC,Boys GEN,Girls GEN,Boys Total,Girls Total,OBC Boys,Gen. Boys,Total ST,Total SC,Total GEN,Total
22,SIDHI,18282,17540,6633,6875,14226,15179,2924,3526,42065,43120,1177,193,35822,13508,6450,85185
23,KATNI,17464,17238,5739,6266,17177,18223,1624,1871,42004,43598,1807,159,34702,12005,3495,85602
24,PANNA,11875,11249,11339,11331,14660,15294,3359,3773,41233,41647,2750,499,23124,22670,7132,82880
25,RAISEN,11750,11458,9427,9850,14705,15962,4029,4576,39911,41846,2783,666,23208,19277,8605,81757
26,RAJGARH,2238,2376,11491,13101,23256,28766,2445,3268,39430,47511,2086,140,4614,24592,5713,86941
27,BHIND,168,184,11850,12025,17865,17692,9514,9353,39397,39254,618,208,352,23875,18867,78651
28,SEONI,20787,21504,2854,3099,13555,14059,2135,2186,39331,40848,693,121,42291,5953,4321,80179
29,SHAHDOL,24178,24057,3812,3890,9220,9911,1180,1392,38390,39250,1653,149,48235,7702,2572,77640
30,MANDLA,27292,27203,1114,1138,9283,9516,325,286,38014,38143,813,11,54495,2252,611,76157
31,GWALIOR,3344,3048,9110,9427,18389,19441,2195,2540,33038,34456,808,67,6392,18537,4735,67494
32,DEWAS,14240,14268,6920,8404,8904,11481,2146,3154,32210,37307,519,125,28508,15324,5300,69517
33,SEHORE,9079,9265,9069,10176,11102,13573,2477,3204,31727,36218,797,168,18344,19245,5681,67945
34,DINDORI,23113,23013,1536,1631,6499,6550,234,213,31382,31407,490,10,46126,3167,447,62789
35,UJJAIN,1756,1850,13744,16341,12079,15625,3793,5150,31372,38966,1056,289,3606,30085,8943,70338
36,ASHOKNAGAR,6006,5560,7987,8121,14906,15928,1915,2194,30814,31803,852,63,11566,16108,4109,62617
37,INDORE,10022,9742,8432,9548,9118,11736,3164,3843,30736,34869,267,65,19764,17980,7007,65605
38,SHEOPUR,10818,9468,4535,4517,12836,12611,743,830,28932,27426,744,26,20286,9052,1573,56358
39,BURHANPUR,13233,12148,1968,2069,8471,8613,1670,1708,25342,24538,976,193,25381,4037,3378,49880
40,UMARIA,16021,15990,2022,2219,5826,5805,921,1006,24790,25020,447,95,32011,4241,1927,49810
41,NARSINGHPUR,6223,6415,5495,5892,11438,12586,1582,1774,24738,26667,2113,303,12638,11387,3356,51405
42,BHOPAL,2023,1875,6092,6250,9995,10593,6433,6610,24543,25328,749,356,3898,12342,13043,49871
43,MANDSAUR,1469,1479,7364,8152,13542,16850,1889,2552,24264,29033,1489,198,2948,15516,4441,53297
44,DATIA,637,663,8312,7888,13587,13173,1393,1424,23929,23148,713,63,1300,16200,2817,47077
45,HOSHANGABAD,8907,8870,4719,5342,8960,10569,996,1375,23582,26156,1356,109,17777,10061,2371,49738
46,ANUPPUR,15494,15522,2393,2474,4849,5163,570,625,23306,23784,344,51,31016,4867,1195,47090
47,HARDA,9580,9111,2666,2815,3233,3574,489,654,15968,16154,231,21,18691,5481,1143,32122
48,SHAJAPUR,773,905,6059,7357,6714,9020,2352,3384,15898,20666,528,160,1678,13416,5736,36564
49,NEEMUCH,3633,3482,2362,2619,8310,9808,1005,1297,15310,17206,506,52,7115,4981,2302,32516
50,AGAR MALWA,457,556,4876,5827,6506,8793,766,1133,12605,16309,622,67,1013,10703,1899,28914
