,District Name,Boys ST,Girls ST,Boys SC,Girls SC,Boys OBC,Girls OBC,Boys GEN,Girls GEN,Boys Total,Girls Total,OBC Boys,Gen. Boys,Total ST,Total SC,Total GEN,Total
0,DHAR,61906,62931,4019,4754,5760,7048,1679,2299,73364,77032,720,87,124837,8773,3978,150396
1,SHIVPURI,17400,15698,15483,15111,37936,37885,2443,2545,73262,71239,1969,104,33098,30594,4988,144501
2,CHHATARPUR,6064,5628,22829,22199,38989,38773,5369,5747,73251,72347,1578,233,11692,45028,11116,145598
3,JHABUA,67998,61711,984,907,530,666,412,411,69924,63695,47,24,129709,1891,823,133619
4,SAGAR,12125,11883,18991,19728,32172,35013,3404,3785,66692,70409,1081,146,24008,38719,7189,137101
5,TIKAMGARH,4774,4297,18264,17755,38943,37231,3051,2921,65032,62204,1647,148,9071,36019,5972,127236
6,MORENA,949,906,16644,16577,33418,31483,11723,11590,62734,60556,3838,844,1855,33221,23313,123290
7,REWA,18001,17002,16497,17118,19140,21859,6474,8132,60112,64111,1041,302,35003,33615,14606,124223
8,SATNA,18944,18324,14855,15418,20563,22577,4648,5641,59010,61960,3798,667,37268,30273,10289,120970
9,KHARGONE,40288,39970,5741,6540,11080,13134,1470,1914,58579,61558,1043,111,80258,12281,3384,120137
10,CHHINDWARA,35137,34937,4206,4723,15366,17297,836,966,55545,57923,1875,86,70074,8929,1802,113468
11,BARWANI,48381,46724,2815,2817,3586,4155,298,321,55080,54017,337,52,95105,5632,619,109097
12,SINGROULI,24810,23896,8047,7935,16536,17620,2001,2306,51394,51757,1690,167,48706,15982,4307,103151
13,BETUL,35022,34230,3537,3749,10058,11037,1581,1694,50198,50710,1481,206,69252,7286,3275,100908
14,KHANDWA,27720,26829,5002,5179,12089,13312,2172,2566,46983,47886,652,58,54549,10181,4738,94869
15,ALIRAJPUR,45067,40210,1156,1074,288,334,197,185,46708,41803,82,12,85277,2230,382,88511
16,VIDISHA,4913,4647,13074,13079,23774,25131,4816,5213,46577,48070,872,157,9560,26153,10029,94647
17,BALAGHAT,16044,16178,2203,2337,27348,28803,410,421,46005,47739,3733,38,32222,4540,831,93744
18,GUNA,13028,12238,8729,9124,21448,23850,1521,1649,44726,46861,1785,121,25266,17853,3170,91587
19,RATLAM,27394,26530,6696,7520,7901,9675,2220,2879,44211,46604,1904,428,53924,14216,5099,90815
20,DAMOH,9123,9157,12007,11857,20445,22130,1962,2137,43537,45281,909,84,18280,23864,4099,88818
21,JABALPUR,15313,15090,7794,7955,17121,18078,2132,2157,42360,43280,1791,202,30403,15749,4289,85640
