,District Name,Boys ST,Girls ST,Boys SC,Girls SC,Boys OBC,Girls OBC,Boys GEN,Girls GEN,Boys Total,Girls Total,OBC Boys,Gen. Boys,Total ST,Total SC,Total GEN,Total
0,CHHATARPUR,8020,7247,32701,30841,59187,58761,9126,9213,109034,106062,13283,1390,15267,63542,18339,215096
1,SHIVPURI,24098,22314,22491,21036,56763,57356,4002,3845,107354,104551,6600,272,46412,43527,7847,211905
2,DHAR,85009,85071,6080,6908,9537,11806,2069,3009,102695,106794,872,55,170080,12988,5078,209489
3,SAGAR,17615,16434,28046,27377,50845,53555,4466,4966,100972,102332,13398,1094,34049,55423,9432,203304
4,REWA,25917,24230,25900,25771,33740,37678,12684,16906,98241,104585,3311,992,50147,51671,29590,202826
5,TIKAMGARH,6853,6592,27088,25244,58498,55291,5175,4930,97614,92057,7855,472,13445,52332,10105,189671
6,SATNA,27579,26011,24174,24687,36208,39050,8408,10967,96369,100715,9983,1996,53590,48861,19375,197084
7,KHARGONE,59413,57869,9607,9332,19278,21606,1992,2405,90290,91212,2297,313,117282,18939,4397,181502
8,JHABUA,85079,78838,701,772,728,1037,370,437,86878,81084,10,5,163917,1473,807,167962
9,BARWANI,72904,72317,4916,5038,7184,8241,398,438,85402,86034,1644,42,145221,9954,836,171436
10,MORENA,1230,1059,20832,18845,44465,41867,17877,17912,84404,79683,3271,525,2289,39677,35789,164087
11,CHHINDWARA,49608,47790,7403,7579,25771,26792,1016,1150,83798,83311,4609,146,97398,14982,2166,167109
12,VIDISHA,6953,6289,21423,19858,41971,41439,7840,8063,78187,75649,14671,2062,13242,41281,15903,153836
13,SINGROULI,34795,33288,11128,10698,25935,27568,2865,3425,74723,74979,8495,760,68083,21826,6290,149702
14,GUNA,19016,18059,14058,14191,37989,41699,2914,3384,73977,77333,6613,397,37075,28249,6298,151310
15,BETUL,47415,45428,5362,5509,15848,16860,2266,2309,70891,70106,4308,465,92843,10871,4575,140997
16,BHIND,281,334,19149,18951,33225,31639,17510,17547,70165,68471,1196,640,615,38100,35057,138636
17,KHANDWA,39145,36516,8139,7778,19072,20492,2985,3261,69341,68047,4220,479,75661,15917,6246,137388
18,RAJGARH,3535,3644,19088,19869,40837,49824,4444,5974,67904,79311,21755,1807,7179,38957,10418,147215
19,SIDHI,26226,24173,10869,10499,24496,25452,6213,7663,67804,67787,5502,1331,50399,21368,13876,135591
20,ALIRAJPUR,62925,57373,2409,2394,469,555,68,81,65871,60403,6,0,120298,4803,149,126274
