,District Name,Boys ST,Girls ST,Boys SC,Girls SC,Boys OBC,Girls OBC,Boys GEN,Girls GEN,Boys Total,Girls Total,OBC Boys,Gen. Boys,Total ST,Total SC,Total GEN,Total
0,CHHATARPUR,6945,6115,25539,24180,45175,43777,6351,6534,84010,80606,8900,770,13060,49719,12885,164616
1,SHIVPURI,18568,17078,17193,15589,42975,42451,2539,2520,81275,77638,4398,120,35646,32782,5059,158913
2,DHAR,66534,65429,4273,5111,6780,8313,1550,2175,79137,81028,982,129,131963,9384,3725,160165
3,SAGAR,13909,13226,21868,21838,37427,40426,3302,3553,76506,79043,11244,761,27135,43706,6855,155549
4,TIKAMGARH,5572,5066,20957,19235,45492,41967,3678,3438,75699,69706,4114,263,10638,40192,7116,145405
5,JHABUA,70359,62642,566,569,530,766,289,356,71744,64333,37,0,133001,1135,645,136077
6,REWA,20587,18707,19078,19306,23134,25956,7260,9909,70059,73878,5364,1206,39294,38384,17169,143937
7,MORENA,1035,926,17986,16416,37111,33984,13705,13316,69837,64642,3839,787,1961,34402,27021,134479
8,SATNA,21429,20149,17317,17590,25365,27325,5262,6889,69373,71953,5239,957,41578,34907,12151,141326
9,KHARGONE,43042,42169,6700,7425,13115,15717,1370,1847,64227,67158,1193,102,85211,14125,3217,131385
10,BARWANI,53842,50248,3685,3606,4518,5178,265,368,62310,59400,615,8,104090,7291,633,121710
11,CHHINDWARA,38247,37599,5067,5435,17997,20000,736,827,62047,63861,2218,77,75846,10502,1563,125908
12,SINGROULI,28419,26608,8975,8497,19249,20478,2027,2469,58670,58052,4695,275,55027,17472,4496,116722
13,VIDISHA,5066,4806,15353,14932,28869,30059,5171,5799,54459,55596,8810,1249,9872,30285,10970,110055
14,BETUL,36439,34823,5072,5217,11033,12233,1673,1855,54217,54128,2921,263,71262,10289,3528,108345
15,ALIRAJPUR,51220,44118,1945,1834,381,507,44,50,53590,46509,0,0,95338,3779,94,100099
16,GUNA,15298,13882,10290,10150,25875,28755,1780,2067,53243,54854,11966,778,29180,20440,3847,108097
17,KHANDWA,30685,28642,5576,5746,13998,15564,2002,2499,52261,52451,2808,290,59327,11322,4501,104712
18,DAMOH,10220,9918,13106,12333,24598,25294,1941,2124,49865,49669,4067,223,20138,25439,4065,99534
19,BALAGHAT,17319,16867,2525,2694,29404,30772,168,217,49416,50550,12090,26,34186,5219,385,99966
20,SIDHI,20485,19049,7969,7785,17194,18161,3424,4476,49072,49471,4029,833,39534,15754,7900,98543
21,RAJGARH,2734,2692,13886,14680,29034,35237,2932,3959,48586,56568,16392,1258,5426,28566,6891,105154
22,RATLAM,29937,27586,7372,7728,9015,11364,2187,2935,48511,49613,961,200,57523,15100,5122,98124
23,BHIND,121,126,13784,13164,22561,21616,11609,11200,48075,46106,447,81,247,26948,22809,94181
24,KATNI,19791,18695,6636,6886,19849,20706,1791,2107,48067,48394,1781,159,38486,13522,3898,96461
25,JABALPUR,16775,16541,9379,9478,19714,20762,1694,1760,47562,48541,2965,152,33316,18857,3454,96103
26,PANNA,13036,11541,12394,12021,17051,17191,4036,4455,46517,45208,5818,993,24577,24415,8491,91725
27,RAISEN,12815,12471,10219,10438,16727,18610,3475,4183,43236,45702,2492,517,25286,20657,7658,88938
28,SEONI,21795,22441,3116,3345,15796,16115,1655,1852,42362,43753,6467,606,44236,6461,3507,86115
29,MANDLA,29867,29601,1224,1251,10767,11209,157,168,42015,42229,3630,39,59468,2475,325,84244
30,SHAHDOL,25357,24672,4032,3884,10283,11038,1343,1592,41015,41186,2915,265,50029,7916,2935,82201
31,GWALIOR,3947,3411,11790,11710,22344,23487,2577,2908,40658,41516,687,75,7358,23500,5485,82174
32,DEWAS,17035,16470,8284,9643,10919,14137,2197,3535,38435,43785,2105,310,33505,17927,5732,82220
33,UJJAIN,1845,1937,16687,18660,15019,19609,3594,5345,37145,45551,4063,707,3782,35347,8939,82696
34,ASHOKNAGAR,6674,5963,9396,8929,17874,18413,2103,2452,36047,35757,1000,43,12637,18325,4555,71804
35,DINDORI,25223,24900,1669,1697,7454,7689,94,105,34440,34391,2451,23,50123,3366,199,68831
36,SEHORE,9751,9211,9957,10743,12161,15379,2540,3440,34409,38773,2959,578,18962,20700,5980,73182
37,INDORE,11542,11093,10169,11453,9855,13518,2662,3498,34228,39562,811,134,22635,21622,6160,73790
38,BHOPAL,2989,2902,9710,10272,16882,18274,3468,3809,33049,35257,4536,899,5891,19982,7277,68306
39,SHEOPUR,11620,10525,4798,4481,13773,13533,885,903,31076,29442,417,15,22145,9279,1788,60518
40,BURHANPUR,14918,13198,2275,2390,8782,9113,1756,1684,27731,26385,3089,610,28116,4665,3440,54116
41,UMARIA,17744,17554,2349,2425,6423,6787,1189,1310,27705,28076,2719,442,35298,4774,2499,55781
42,HOSHANGABAD,10109,9625,5637,6044,10609,12379,1060,1395,27415,29443,2167,160,19734,11681,2455,56858
43,NARSINGHPUR,6458,6637,6062,6309,12655,13994,2090,2227,27265,29167,3089,441,13095,12371,4317,56432
44,DATIA,728,629,9004,8129,15673,14922,1754,1686,27159,25366,679,53,1357,17133,3440,52525
45,ANUPPUR,17193,16837,2721,2708,5936,6272,455,597,26305,26414,1054,45,34030,5429,1052,52719
46,MANDSAUR,1551,1526,7949,8770,14700,18816,2105,2916,26305,32028,3338,386,3077,16719,5021,58333
47,HARDA,10618,9794,3109,3153,3605,3888,514,748,17846,17583,989,89,20412,6262,1262,35429
48,SHAJAPUR,796,999,6558,8244,7415,10234,2566,3957,17335,23434,2446,756,1795,14802,6523,40769
49,NEEMUCH,3768,3577,2481,2777,8876,10787,944,1309,16069,18450,2945,144,7345,5258,2253,34519
50,AGAR MALWA,449,578,5550,6323,7610,10394,872,1262,14481,18557,2727,215,1027,11873,2134,33038
