,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",DATIA,DATIA,672,428,186,38,20,657,428,186,27,20,15,0,0,11,0,97.77,100,100,71.05,100
"                                            2
                                        ",DATIA,SEONDHA,423,273,109,27,14,412,273,109,19,14,11,0,0,8,0,97.4,100,100,70.37,100
"                                            3
                                        ",DATIA,BHANDER,282,169,89,19,5,274,168,89,15,4,8,1,0,4,1,97.16,99.41,100,78.95,80
 , ,Total,1377,870,384,84,39,1343,869,384,61,38,34,1,0,23,1, , , , , 
