,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",DEWAS,KHATEGAON,357,229,103,12,13,351,229,103,8,11,6,0,0,4,2,98.32,100,100,66.67,84.62
"                                            2
                                        ",DEWAS,TONKKHURD,216,133,65,7,11,212,131,65,6,11,4,2,0,1,0,98.15,98.5,100,85.71,100
"                                            3
                                        ",DEWAS,SONKATCH,317,209,86,13,9,310,209,85,8,9,7,0,1,5,0,97.79,100,98.84,61.54,100
"                                            4
                                        ",DEWAS,BAGLI,551,387,128,19,17,537,382,127,14,17,14,5,1,5,0,97.46,98.71,99.22,73.68,100
"                                            5
                                        ",DEWAS,DEWAS,477,298,136,21,22,463,298,134,20,19,14,0,2,1,3,97.06,100,98.53,95.24,86.36
"                                            6
                                        ",DEWAS,KANNOD,437,288,113,23,13,423,287,109,17,13,14,1,4,6,0,96.8,99.65,96.46,73.91,100
 , ,Total,2355,1544,631,95,85,2296,1536,623,73,80,59,8,8,22,5, , , , , 
