,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",TIKAMGARH,PALERA,430,296,100,23,11,424,296,100,19,11,6,0,0,4,0,98.6,100,100,82.61,100
"                                            2
                                        ",TIKAMGARH,BALDEWGARH,454,316,105,20,13,444,316,105,13,13,10,0,0,7,0,97.8,100,100,65,100
"                                            3
                                        ",TIKAMGARH,JATARA,480,323,112,27,18,469,323,111,19,17,11,0,1,8,1,97.71,100,99.11,70.37,94.44
"                                            4
                                        ",TIKAMGARH,PRATHVIPUR,404,296,81,15,12,392,296,81,5,11,12,0,0,10,1,97.03,100,100,33.33,91.67
"                                            5
                                        ",TIKAMGARH,TIKAMGARH,476,320,117,25,14,461,320,117,13,14,15,0,0,12,0,96.85,100,100,52,100
"                                            6
                                        ",TIKAMGARH,NIWARI,344,227,86,17,14,329,224,86,9,14,15,3,0,8,0,95.64,98.68,100,52.94,100
 , ,Total,2588,1778,601,127,82,2519,1775,600,78,80,69,3,1,49,2, , , , , 
