,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",BHOPAL,PHANDA GRAMIN,378,238,107,20,13,369,238,107,16,13,9,0,0,4,0,97.62,100,100,80,100
"                                            2
                                        ",BHOPAL,BERASIA,552,380,142,20,10,537,380,142,8,10,15,0,0,12,0,97.28,100,100,40,100
"                                            3
                                        ",BHOPAL,Phanda Urban (Old City),179,86,63,6,24,173,84,61,5,23,6,2,2,1,1,96.65,97.67,96.83,83.33,95.83
"                                            4
                                        ",BHOPAL,PHANDA URBAN (New City),215,113,63,13,26,205,112,62,10,25,10,1,1,3,1,95.35,99.12,98.41,76.92,96.15
 , ,Total,1324,817,375,59,73,1284,814,372,39,71,40,3,3,20,2, , , , , 
