,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",JHABUA,MEGHNAGAR ,352,262,65,17,8,349,262,64,16,8,3,0,1,1,0,99.15,100,98.46,94.12,100
"                                            2
                                        ",JHABUA,RANAPUR,363,287,58,7,11,359,286,58,6,9,4,1,0,1,2,98.9,99.65,100,85.71,81.82
"                                            3
                                        ",JHABUA,THANDLA,423,341,61,14,7,418,340,61,11,7,5,1,0,3,0,98.82,99.71,100,78.57,100
"                                            4
                                        ",JHABUA,JHABUA,448,352,73,12,11,440,350,71,10,10,8,2,2,2,1,98.21,99.43,97.26,83.33,90.91
"                                            5
                                        ",JHABUA,RAMA ,399,306,66,18,9,388,304,66,11,8,11,2,0,7,1,97.24,99.35,100,61.11,88.89
"                                            6
                                        ",JHABUA,PETLAWAD,582,443,106,21,12,564,438,105,11,11,18,5,1,10,1,96.91,98.87,99.06,52.38,91.67
 , ,Total,2567,1991,429,89,58,2518,1980,425,65,53,49,11,4,24,5, , , , , 
