No,District,Total,TOTAL-PS,TOTAL-MS,TOTAL-HS,TOTAL-HSS,Total-VER,PS-VER,MS-VER,HS-VER,HSS-VER,Total-UNVER,PS-UNVER,MS-UNVER,HS-UNVER,HSS-UNVER,Total%-VER,PS%-VER,MS%-VER,HS%-VER,HSS%-VER
"                                        39
                                    ",SHEOPUR,1234,874,283,43,34,1184,860,278,25,21,50,14,5,18,13,95.95,98.4,98.23,58.14,61.76
"                                        40
                                    ",HARDA,914,543,284,53,34,876,530,280,35,31,38,13,4,18,3,95.84,97.61,98.59,66.04,91.18
"                                        41
                                    ",HOSHANGABAD,1911,1186,551,94,80,1831,1161,529,67,74,80,25,22,27,6,95.81,97.89,96.01,71.28,92.5
"                                        42
                                    ",DINDORI,2019,1425,454,85,55,1931,1406,438,46,41,88,19,16,39,14,95.64,98.67,96.48,54.12,74.55
"                                        43
                                    ",SIDHI,2560,1707,643,107,103,2437,1641,630,68,98,123,66,13,39,5,95.2,96.13,97.98,63.55,95.15
"                                        44
                                    ",BHIND,2670,1751,742,109,68,2523,1671,709,86,57,147,80,33,23,11,94.49,95.43,95.55,78.9,83.82
"                                        45
                                    ",RAJGARH,2881,1917,747,141,76,2705,1889,735,50,31,176,28,12,91,45,93.89,98.54,98.39,35.46,40.79
"                                        46
                                    ",JHABUA,2567,1991,429,88,59,2406,1902,402,54,48,161,89,27,34,11,93.73,95.53,93.71,61.36,81.36
"                                        47
                                    ",KATNI,2036,1327,529,101,79,1885,1259,505,53,68,151,68,24,48,11,92.58,94.88,95.46,52.48,86.08
"                                        48
                                    ",BARWANI,3203,2362,684,92,65,2918,2174,618,69,57,285,188,66,23,8,91.1,92.04,90.35,75,87.69
"                                        49
                                    ",ALIRAJPUR,2433,1950,374,70,39,1872,1533,283,33,23,561,417,91,37,16,76.94,78.62,75.67,47.14,58.97
"                                        50
                                    ",BHOPAL,1324,817,375,59,73,956,586,272,33,65,368,231,103,26,8,72.21,71.73,72.53,55.93,89.04
"                                        51
                                    ",AGAR MALWA,1006,647,296,36,27,0,0,0,0,0,1006,647,296,36,27,0,0,0,0,0
 ,Total,122925,83113,30508,5127,4177,117481,80568,29394,3691,3828,5444,2545,1114,1436,349, , , , , 
